PredictionString,image_id
1 0.15096433 221.43513 255.63554 276.79327 294.68466 1 0.122141756 227.45528 150.97073 252.0898 238.88037 1 0.06600113 165.58125 74.130035 255.57005 165.17546 2 0.093066625 221.43513 255.63554 276.79327 294.68466 6 0.056097634 221.43513 255.63554 276.79327 294.68466 8 0.99983025 173.92842 234.77342 462.01578 471.45102 8 0.14378107 221.85551 255.43582 276.61823 294.96646 ,batch_01_vt/0021.jpg
1 0.37431994 0.6438844 244.75012 302.58282 457.9983 6 0.23692141 457.22607 348.13342 511.86612 434.05743 6 0.13482974 285.98566 233.62378 487.923 432.37717 6 0.11582054 370.3936 352.53574 450.0001 399.56342 6 0.10036545 282.88412 339.77292 307.6854 376.23334 8 0.99411386 157.11125 52.09187 480.48737 263.80264 8 0.9691104 285.17734 226.06602 488.5192 432.49176 8 0.73841184 293.1902 180.6978 487.17584 270.21964 8 0.7191477 0.7278169 244.66312 302.3508 457.95993 8 0.45131174 457.3668 347.9545 511.8984 434.14706 8 0.1385977 202.84209 140.57616 485.80142 277.5349 8 0.10600112 161.26729 119.21651 403.62436 255.98918 8 0.08858484 240.36172 54.912792 337.03055 107.32865 8 0.08677449 231.41429 65.872734 469.76642 181.75688 8 0.05814516 405.3631 121.48555 472.3007 182.58986 8 0.05190294 201.21748 108.02538 484.6376 384.33755 ,batch_01_vt/0028.jpg
1 0.9968338 73.05599 168.46013 374.11765 379.17477 ,batch_01_vt/0031.jpg
1 0.11087761 296.0267 156.57527 358.55698 224.76256 2 0.48820695 295.8217 156.56992 357.97748 224.64449 6 0.06545233 199.78897 182.95619 299.64142 321.9686 8 0.9901369 30.619715 126.91625 389.53033 376.78207 8 0.30216646 33.166546 231.78719 339.09534 375.43417 8 0.28299132 295.0686 156.08324 359.2623 225.08232 8 0.19081955 180.82718 129.1481 384.97644 347.42828 8 0.052796986 191.07921 167.2662 299.55197 319.56882 ,batch_01_vt/0032.jpg
1 0.74530506 388.31796 270.92026 479.56686 343.4364 1 0.15156968 69.98549 437.4094 221.03352 510.92416 1 0.10869002 226.08907 391.14926 281.6083 457.99933 1 0.09696957 398.94156 318.44357 448.77036 344.58893 1 0.08489412 337.7598 293.5249 382.43433 319.48007 1 0.08002828 0.41353723 188.33943 67.22333 319.9867 1 0.0748347 0.1869413 126.376884 40.98729 213.15251 1 0.07107969 38.301815 458.97165 83.47228 473.08554 1 0.05065902 456.13474 210.11131 511.7173 281.08072 2 0.8685746 361.3829 164.93272 508.45782 294.3569 2 0.49397436 0.3762494 453.71436 100.214005 511.87653 2 0.4394439 455.92007 209.70586 511.59537 281.3806 2 0.38345176 61.7282 436.8046 222.28946 511.2041 2 0.29441166 316.42465 245.37402 414.99094 297.84464 2 0.26932234 0.3500177 488.38345 43.595398 511.98828 2 0.17658246 0.20435877 489.5667 20.711706 511.9182 2 0.15836385 38.301815 458.97165 83.47228 473.08554 2 0.14513586 0.03744219 462.53293 17.938894 490.6473 2 0.14031753 471.19565 274.76434 511.3632 289.24527 2 0.13091119 30.840427 130.58852 386.16144 274.55157 2 0.1233243 347.57373 202.17055 359.78897 219.79651 2 0.10624757 374.63974 209.10359 500.7892 327.90613 2 0.09438949 388.1423 267.50644 491.61758 343.7894 2 0.08263199 0.27817458 455.03165 45.762096 511.60294 2 0.057012398 1.3875215 255.36015 64.352165 319.17664 2 0.056725215 410.18222 192.7369 509.4142 289.47235 2 0.051545717 110.36873 253.61263 283.2441 279.41162 2 0.050004758 29.141005 457.73233 122.036865 500.58917 6 0.89955616 239.50346 267.80408 384.36136 375.57797 6 0.72586393 168.6721 296.69077 286.34204 379.56796 6 0.13596323 197.09288 281.43015 294.03476 361.30624 6 0.13335219 291.4636 0.6107387 314.5031 23.672575 6 0.12815578 110.36873 253.61263 283.2441 279.41162 6 0.09186901 237.77542 16.732359 274.06055 77.55929 6 0.07713323 153.4516 294.2064 284.98398 444.59042 6 0.07258098 271.67847 338.92493 287.8602 354.18588 6 0.06453758 337.22104 293.46115 384.8798 321.3356 6 0.06332422 199.67735 277.44888 259.43832 311.5357 6 0.0624603 70.06687 437.49347 223.38274 510.90796 6 0.058597412 151.7177 192.99637 193.66826 220.13396 6 0.051498827 316.55594 244.51929 414.33453 297.43585 6 0.051207114 223.11363 391.12827 286.38995 458.0956 6 0.050138414 30.840427 130.58852 386.16144 274.55157 7 0.9505022 0.28668782 86.97328 47.08719 134.92883 7 0.19485709 30.840427 130.58852 386.16144 274.55157 7 0.12378981 200.34694 277.29608 257.94537 307.72842 7 0.07664143 0.3105664 89.7875 4.2979536 129.36646 7 0.062381577 239.3785 267.6162 383.96835 375.54132 8 0.9978752 150.27043 0.129403 354.5306 218.168 8 0.9940956 43.590614 59.244556 186.18138 219.11938 8 0.98597634 0.62608594 264.36398 211.6942 472.4881 8 0.94789046 161.1065 351.60068 350.5122 501.09277 8 0.8279671 0.12181095 196.14401 65.612946 316.64084 8 0.782006 289.0051 134.69267 357.85425 221.36458 8 0.47477683 0.1869413 126.376884 40.98729 213.15251 8 0.31109342 0.059172392 317.26474 22.825651 338.7072 8 0.29560706 69.88412 436.68115 222.0835 511.14825 8 0.22215553 95.221306 73.586815 373.86887 251.51465 8 0.19477876 1.1636564 258.67065 65.065796 319.34445 8 0.17161171 151.47852 193.07178 193.75903 220.14224 8 0.170311 175.35446 134.72148 358.1584 223.38802 8 0.116890326 51.492855 278.4427 283.7377 491.35385 8 0.11346324 10.935145 263.4971 232.39497 348.66122 8 0.102799915 130.41344 308.99225 311.0151 470.49707 8 0.10012765 291.51047 0.61032456 315.27783 23.922308 8 0.09690614 0.033663344 322.9318 9.775846 340.42795 8 0.09685265 337.22104 293.46115 384.8798 321.3356 8 0.09677791 177.40219 208.63086 290.33273 220.4624 8 0.09530476 388.1423 267.50644 491.61758 343.7894 8 0.09275091 28.70561 132.51193 386.38138 272.61908 8 0.066882834 237.77542 16.732359 274.06055 77.55929 8 0.0667927 35.063747 261.52283 371.69177 419.89185 8 0.06069702 239.42056 267.68857 384.35068 375.5671 8 0.06026423 0.04769269 307.63577 35.38266 345.4299 8 0.059898358 160.74915 295.05988 285.28796 411.65796 8 0.058778595 335.68976 290.02252 421.04404 326.48813 ,batch_01_vt/0070.jpg
1 0.53713036 389.30063 293.0821 418.37888 310.62247 1 0.35442868 69.94778 236.59697 103.88641 252.76872 1 0.31995663 79.89269 218.08452 112.80238 237.79735 1 0.20282911 408.60602 268.88647 491.97882 295.4007 1 0.11560589 360.79358 213.49539 373.4652 266.81503 1 0.105536334 175.97742 438.55905 204.20671 447.10538 1 0.099046364 307.1937 215.01334 346.88095 245.46162 1 0.0791355 308.586 216.09923 342.6197 230.2672 1 0.077730715 92.90248 224.04414 110.44872 237.48438 1 0.077163614 316.9829 233.93047 344.41403 258.66064 1 0.06667562 307.87262 209.84001 365.77814 258.7548 1 0.06377751 306.96616 218.58836 335.90518 237.40282 1 0.06364058 222.67007 263.78287 236.0443 276.51074 1 0.056826618 80.37248 237.06128 102.54174 244.50572 2 0.2533813 79.89269 218.08452 112.80238 237.79735 2 0.1937247 69.791565 236.60503 104.37151 253.0019 2 0.094687104 389.3107 293.11618 418.37433 310.68967 2 0.071121074 316.9829 233.93047 344.41403 258.66064 2 0.06526274 307.1937 215.01334 346.88095 245.46162 3 0.06859727 70.16934 236.53027 103.60331 252.6809 6 0.17286174 288.6123 219.91666 311.52118 239.6461 6 0.124655776 280.19144 239.1082 323.49594 268.61548 6 0.061628193 360.79358 213.49539 373.4652 266.81503 7 0.08418543 389.292 293.16537 418.37057 310.64575 8 0.9994996 263.31152 195.7606 408.25153 352.405 8 0.9993891 119.71142 247.44913 278.68515 362.66147 8 0.9959351 49.637505 235.27208 165.7993 297.71158 8 0.94030154 125.775475 162.18652 268.35303 270.87592 8 0.5948167 408.74854 268.84653 490.37842 295.42966 8 0.5557657 116.97951 162.49992 184.8856 212.20393 8 0.24249318 308.2276 216.69127 347.75452 259.60483 8 0.20874277 289.07388 219.968 311.14957 239.68956 8 0.20830837 360.79358 213.49539 373.4652 266.81503 8 0.20613597 69.584694 235.99686 104.88716 253.06827 8 0.20304282 260.3352 181.28911 335.127 228.7731 8 0.1636982 306.94916 212.19505 350.0497 241.18047 8 0.16294943 314.70593 232.9167 343.92764 259.89813 8 0.14650002 280.233 238.3062 332.88437 268.68015 8 0.14298859 160.19499 180.87389 249.96646 255.50175 8 0.115683295 286.95352 211.25586 368.0791 267.10336 8 0.114194565 200.64793 217.5863 266.81857 267.65607 8 0.108217 117.01125 160.84941 234.70732 223.90726 8 0.095495306 307.4504 216.43925 342.05035 234.40196 8 0.094423845 289.35956 215.96936 341.9838 242.63365 8 0.08783095 313.94745 243.79265 330.99893 259.5627 8 0.0857855 334.8837 183.63208 362.58917 208.64677 8 0.078596845 269.96616 191.59668 351.4571 238.17964 8 0.07518469 138.45032 178.77531 182.93156 210.45857 8 0.07402711 135.24124 192.08592 173.14005 212.20377 8 0.072143026 308.92783 221.86479 341.1461 245.16719 8 0.0621457 307.52292 218.79207 327.33383 237.62825 8 0.058373213 119.49175 160.3071 153.11272 174.74341 8 0.05697597 309.73444 215.72945 342.2421 225.83482 8 0.056372162 389.3107 293.11618 418.37433 310.68967 8 0.054590564 99.86108 202.40039 168.11859 245.64014 ,batch_01_vt/0076.jpg
1 0.09737141 323.57916 163.84949 404.2363 199.83049 1 0.09613091 404.6237 231.49532 461.8513 272.1081 1 0.080790296 247.26163 218.36436 310.544 245.94072 1 0.075996995 465.22705 362.79727 507.1416 397.42474 2 0.37347004 321.70288 162.00145 404.39917 199.8822 2 0.306218 404.03644 230.37544 466.05542 272.6568 2 0.25322708 246.97049 218.31572 310.26376 245.6303 2 0.13186263 380.6927 170.88086 403.31537 199.77121 2 0.05492214 465.22705 362.79727 507.1416 397.42474 2 0.05309399 288.09247 246.9713 299.32812 268.64148 3 0.12836115 404.6237 231.49532 461.8513 272.1081 3 0.11771613 321.70288 162.00145 404.39917 199.8822 6 0.26018915 222.51282 240.85184 296.6328 306.267 6 0.11060854 247.01317 218.39053 310.36096 245.81897 6 0.09472429 304.89926 183.95901 326.7595 202.75954 6 0.06944301 321.0024 156.45442 404.6217 200.07793 8 0.99273825 98.42883 123.49475 207.34831 265.89648 8 0.9823367 335.13596 268.5507 473.75732 414.17197 8 0.981208 376.3463 0.0 511.72354 112.74209 8 0.98027843 179.09193 86.65271 288.54062 218.69751 8 0.97957355 393.38525 403.78073 511.83878 511.23633 8 0.97696066 437.041 201.83948 511.39365 355.30112 8 0.9653835 289.7783 171.08908 435.63696 287.42065 8 0.91120845 203.96613 314.27963 440.20065 469.72787 8 0.9018694 126.32007 226.4775 276.55756 327.21896 8 0.8100961 195.94943 206.43546 266.65063 252.28433 8 0.7797795 300.13144 277.73895 373.7938 315.33954 8 0.76853245 428.64963 148.40002 511.8671 242.65274 8 0.737617 458.8693 346.36118 511.7175 411.22598 8 0.7018981 390.63104 97.75536 511.49338 195.34886 8 0.66744155 174.54314 197.26834 231.06299 235.77464 8 0.5719984 436.2922 362.70557 468.5939 410.90475 8 0.47398502 197.33925 306.60904 293.28848 377.3207 8 0.4462212 286.5477 311.58243 350.87198 343.54678 8 0.4115735 199.87694 316.9208 365.2564 398.29532 8 0.37806377 221.76323 240.52873 299.57504 310.22308 8 0.35848314 286.21423 269.99582 315.62268 317.6824 8 0.3158238 216.29478 301.30646 288.08575 326.1711 8 0.29810986 403.4598 229.44444 469.57202 273.13242 8 0.29357487 290.96973 268.39233 414.80264 315.9344 8 0.26896617 320.9064 156.10205 404.81747 200.01157 8 0.2590073 288.9653 116.30977 427.3212 251.86461 8 0.25665113 286.13348 181.79503 326.53055 219.91228 8 0.21010213 247.32109 218.4794 310.12585 245.53113 8 0.21002276 438.42676 340.80698 491.99683 411.2336 8 0.19389094 222.83421 211.29668 304.01852 248.96565 8 0.1658695 195.60814 330.6018 226.23677 377.38354 8 0.15223125 325.33664 114.10146 473.4208 277.89157 8 0.1433649 297.74167 111.2246 410.38754 200.33868 8 0.13451216 286.45322 272.5088 344.8373 318.5505 8 0.12079704 465.22705 362.79727 507.1416 397.42474 8 0.114500105 285.63205 188.95276 311.16464 220.51744 8 0.113521956 284.90912 245.01671 305.79758 316.08994 8 0.107411146 215.1527 304.4698 348.1528 341.02563 8 0.085231304 384.16513 57.74001 509.35812 282.7631 8 0.08207645 157.6359 197.05923 257.63864 251.18948 8 0.075628124 304.9417 183.65292 326.53317 202.15327 8 0.071840905 284.8834 288.03293 361.38834 339.74435 8 0.06983943 387.8418 348.10748 511.51376 412.19507 8 0.06878302 307.31186 319.18173 346.39536 342.4056 8 0.06836288 367.03073 105.36373 411.96506 174.10979 8 0.0676287 374.83868 494.16428 403.24033 511.25708 8 0.05728514 306.65515 275.2761 323.63052 290.7065 8 0.056777477 328.58926 154.49242 400.03973 176.30138 8 0.05650055 288.69382 139.28654 400.41357 221.6726 8 0.054505326 173.42334 265.60416 296.92117 371.73874 8 0.053468574 292.92773 315.2966 337.36157 332.06793 8 0.053064417 453.13882 339.79965 486.92795 367.91864 8 0.051294863 321.84576 163.84785 436.33823 241.27148 ,batch_01_vt/0078.jpg
1 0.99241763 215.1826 196.82217 263.4493 269.21762 1 0.12605342 173.02077 199.88077 267.63245 309.5954 1 0.08981273 80.5416 6.7052927 155.10713 257.2275 1 0.075771935 98.42108 238.09624 273.46652 321.62442 6 0.9043175 98.43862 240.04753 274.07077 328.92212 6 0.159052 97.41443 240.5872 282.47922 440.03418 ,batch_01_vt/0096.jpg
1 0.9270057 357.94528 217.50096 485.79355 371.63315 1 0.4294221 14.533182 173.20953 55.208923 191.80354 1 0.39776036 398.4413 214.40092 424.50095 232.68338 1 0.29254082 342.84854 293.4507 433.73795 365.92676 1 0.20263486 336.87994 292.04547 391.68716 375.61093 1 0.14347704 37.446827 238.24516 57.278114 260.5743 1 0.10122111 170.2568 302.5059 242.65462 351.90097 1 0.09361326 368.2172 301.59537 430.79605 350.2658 1 0.0928976 16.270584 180.60101 54.677868 197.02657 1 0.087151386 285.58655 291.13995 431.90918 381.52057 1 0.082424104 315.8531 229.15483 375.94974 287.25687 1 0.08120109 215.73975 172.00887 363.83066 311.78488 1 0.08058407 17.869925 186.27783 25.434977 196.36607 1 0.0804074 0.19571494 173.81615 20.635162 198.32358 1 0.075244464 45.78495 250.34648 65.04335 257.61902 1 0.07438596 15.766357 180.91954 25.656591 196.94597 1 0.061066415 358.4832 222.07536 472.73877 292.31174 1 0.059616115 339.90646 292.26266 378.67374 317.2702 2 0.3548364 215.95193 171.9945 362.82437 311.17517 2 0.16868769 11.156366 173.26161 55.463024 197.2251 2 0.14611447 299.1084 291.15048 433.93707 377.84015 2 0.14509559 169.97762 302.5707 242.90958 352.05933 2 0.089506775 0.1596576 173.84204 20.006979 197.62152 2 0.082682945 356.2303 295.73517 433.03668 362.2864 2 0.07119036 368.25104 305.5833 429.2981 344.16574 2 0.07073644 17.869925 186.27783 25.434977 196.36607 2 0.06375494 351.1237 349.8194 376.32858 383.6189 2 0.058035653 17.018623 183.89738 53.12454 197.3898 2 0.054944437 45.78495 250.34648 65.04335 257.61902 2 0.05242407 15.766357 180.91954 25.656591 196.94597 3 0.104002886 367.49976 300.2101 430.93448 349.0953 3 0.08345678 342.7815 292.39484 433.8856 366.3242 6 0.5934473 278.8095 321.45135 345.65698 380.4159 6 0.16237238 276.87094 303.3818 404.325 380.92737 6 0.1364163 317.47202 321.06656 343.99924 342.46075 6 0.100517966 319.78876 290.82224 434.43198 374.8425 6 0.07330341 350.8326 348.10745 376.2147 383.82614 6 0.056187537 277.75327 323.70895 305.43878 378.92163 7 0.118196204 14.231013 173.46133 55.432415 193.33691 7 0.057849355 373.55655 347.00485 410.1582 389.1119 8 0.9992351 0.20805728 309.88718 239.19127 510.82144 8 0.99621487 38.207973 237.42334 186.7172 342.73264 8 0.99081725 135.6662 277.3712 291.95114 447.87393 8 0.9764158 261.35925 286.2656 440.9835 469.46274 8 0.97211057 0.22070222 177.74002 60.678883 260.19626 8 0.94897425 0.14621969 243.92711 71.128944 342.55402 8 0.4034705 316.14194 229.3118 375.58902 272.11276 8 0.29279944 280.37317 321.79184 345.58347 380.3291 8 0.21856426 281.44925 289.08835 434.1761 391.5941 8 0.09130666 152.26848 291.44864 268.5263 386.0916 8 0.08496831 358.03906 217.66602 485.95517 371.571 8 0.07176216 344.3418 294.4515 433.61108 365.84372 8 0.068894595 0.21761517 173.8012 19.752905 198.22066 8 0.053427704 163.70804 276.0549 406.5913 458.01657 8 0.0523506 17.869925 186.27783 25.434977 196.36607 8 0.05223272 45.78495 250.34648 65.04335 257.61902 ,batch_01_vt/0101.jpg
1 0.28085145 108.98766 256.5252 278.76968 398.7188 1 0.25140005 157.17747 129.80775 258.03537 170.54211 1 0.17186175 3.3458154 0.8270351 504.88116 217.791 1 0.1326491 469.72653 346.5218 511.89352 408.73322 1 0.1284797 48.662888 207.10008 371.34702 436.0139 1 0.11681986 77.362724 1.061117 416.1375 62.197475 1 0.11565571 2.0160418 39.494728 502.21173 371.93723 1 0.06938246 189.84145 142.95103 257.1706 169.68681 1 0.05578059 151.92549 265.56577 246.1901 384.40958 2 0.7347297 394.1421 115.810524 511.3286 337.3994 2 0.6976194 79.4832 0.9954838 418.3134 61.262615 2 0.6915164 403.6047 413.90576 511.8893 511.13644 2 0.4901433 436.1232 279.01202 511.5921 416.44968 2 0.3343646 130.45926 261.57236 303.3342 400.2612 2 0.22889738 414.05923 203.14958 511.6158 418.36017 2 0.20426014 88.77795 253.76431 245.27666 394.5356 2 0.14200233 433.2651 452.2539 511.93912 511.75854 2 0.13053122 2.0160418 39.494728 502.21173 371.93723 2 0.11837516 3.3458154 0.8270351 504.88116 217.791 2 0.110806264 77.58727 2.1732647 255.25996 53.307667 2 0.08137435 410.1499 281.294 511.4271 481.97763 2 0.07555586 361.98477 145.99039 494.6263 394.18283 2 0.07136202 157.06708 129.81706 257.91135 171.13051 2 0.068779014 470.05997 346.54752 511.81055 408.85345 2 0.066994056 199.50119 0.35357648 417.57455 45.767204 2 0.058552105 48.662888 207.10008 371.34702 436.0139 6 0.16352907 157.02185 130.14256 258.271 171.0501 6 0.16219226 87.06402 254.10033 278.49896 397.1039 6 0.12308331 469.8185 346.45895 511.93115 408.7388 6 0.09745239 157.07274 269.40793 305.16977 400.66583 6 0.08053672 48.662888 207.10008 371.34702 436.0139 6 0.06855028 436.2003 279.215 511.47363 416.3021 8 0.9734651 3.0442133 126.838585 449.41562 509.12433 8 0.51491565 0.5432572 327.50616 38.317318 486.7665 8 0.31488544 2.0160418 39.494728 502.21173 371.93723 8 0.2984359 10.033943 114.56929 212.03789 194.84343 8 0.20357578 469.94058 346.63925 511.85684 408.72687 8 0.11781342 84.10551 0.6153686 417.88217 61.82266 8 0.10682895 48.662888 207.10008 371.34702 436.0139 8 0.09969216 3.6296651 100.5698 466.44058 265.45245 8 0.09300257 3.1608505 318.7799 69.53974 490.48053 8 0.0823326 6.6096625 119.174805 242.12047 247.80362 8 0.06892692 5.9487076 158.82181 287.73828 407.5439 8 0.053588986 3.816901 116.990944 386.72037 201.05853 10 0.06268425 88.20782 254.25313 252.65811 393.486 ,batch_01_vt/0122.jpg
